Episode,name,Title,Season,Date,isSerie
,Coin Heist,Coin Heist,,13-feb.-17,FALSE
,Emelie,Emelie,,10-feb.-17,FALSE
,Take the 10,Take the 10,,09-feb.-17,FALSE
,Shrek,Shrek,,09-feb.-17,FALSE
So Then a Bat or a Monkey,Santa Clarita Diet,Santa Clarita Diet Season 1 So Then a Bat or a Monkey,1,07-feb.-17,TRUE
,iBOY,iBOY,,03-feb.-17,FALSE
,The Wave,The Wave,,11-Jan-17,FALSE
Gamma Zeta Die!,Pretty Little Liars,Pretty Little Liars Season 4 Gamma Zeta Die!,4,02-Jan-17,TRUE
Run Ali Run,Pretty Little Liars,Pretty Little Liars Season 5 Run Ali Run,5,02-Jan-17,TRUE
Hot for Teacher,Pretty Little Liars,Pretty Little Liars Season 4 Hot for Teacher,4,20-Dec-16,TRUE
Bite Your Tongue,Pretty Little Liars,Pretty Little Liars Season 4 Bite Your Tongue,4,20-Dec-16,TRUE
Close Encounters,Pretty Little Liars,Pretty Little Liars Season 4 Close Encounters,4,20-Dec-16,TRUE
"Love ShAck, Baby",Pretty Little Liars,"Pretty Little Liars Season 4 Love ShAck, Baby",4,19-Dec-16,TRUE
Je Suis Une Amie,Pretty Little Liars,Pretty Little Liars Season 1 Je Suis Une Amie,1,19-Dec-16,TRUE
Secret Agenting,Project Mc²,Project Mc² Part 1 Secret Agenting,1,17-Dec-16,TRUE
The New Girl,Project Mc²,Project Mc² Part 1 The New Girl,1,17-Dec-16,TRUE
Touched by an A-ngel,Pretty Little Liars,Pretty Little Liars Season 2 Touched by an A-ngel,2,28-nov.-16,TRUE
,Born 2 Race,Born 2 Race,,15-nov.-16,FALSE
,Very Good Girls,Very Good Girls,,15-nov.-16,FALSE
Bubblestand / Ripped Pants,SpongeBob SquarePants,SpongeBob SquarePants Season 1 Bubblestand / Ripped Pants,1,15-nov.-16,TRUE
,xXx,xXx,,15-nov.-16,FALSE
,Big,Big,,15-nov.-16,FALSE
,Vehicle 19,Vehicle 19,,14-nov.-16,FALSE
,True Memoirs of an International Assassin,True Memoirs of an International Assassin,,12-nov.-16,FALSE
Triggerfinger,The Walking Dead,The Walking Dead Season 2 Triggerfinger,2,11-nov.-16,TRUE
,Brick Mansions,Brick Mansions,,08-nov.-16,FALSE
,Fast Five,Fast Five,,08-nov.-16,FALSE
,Sicario,Sicario,,08-nov.-16,FALSE
The Lady Vanished,Gossip Girl,Gossip Girl Season 3 The Lady Vanished,3,06-nov.-16,TRUE
,7 años,7 años,,01-nov.-16,FALSE
,American High School,American High School,,31-oct.-16,FALSE
,Fast & Furious,Fast & Furious,,31-oct.-16,FALSE
,2 Fast 2 Furious,2 Fast 2 Furious,,31-oct.-16,FALSE
Dan de Fleurette,Gossip Girl,Gossip Girl Season 3 Dan de Fleurette,3,29-oct.-16,TRUE
Quagmire's Mom,Family Guy,Family Guy Season 13 Quagmire's Mom,13,24-oct.-16,TRUE
Hot Ice,Transporter The Series,Transporter The Series Season 1 Hot Ice,1,24-oct.-16,TRUE
Farmer Guy,Family Guy,Family Guy Season 11 Farmer Guy,11,20-oct.-16,TRUE
Save the Clam,Family Guy,Family Guy Season 11 Save the Clam,11,20-oct.-16,TRUE
Dead Drop,Transporter The Series,Transporter The Series Season 1 Dead Drop,1,18-oct.-16,TRUE
Harvest,Transporter The Series,Transporter The Series Season 1 Harvest,1,18-oct.-16,TRUE
,The Fast and the Furious Tokyo Drift,The Fast and the Furious Tokyo Drift,,17-oct.-16,FALSE
,Mr. Deeds,Mr. Deeds,,15-oct.-16,FALSE
Al Fin Cayó!,Narcos,Narcos Season 2 Al Fin Cayó!,2,08-oct.-16,TRUE
Nuestra Finca,Narcos,Narcos Season 2 Nuestra Finca,2,08-oct.-16,TRUE
Exit El Patrón,Narcos,Narcos Season 2 Exit El Patrón,2,08-oct.-16,TRUE
Deutschland 93,Narcos,Narcos Season 2 Deutschland 93,2,04-oct.-16,TRUE
Los Pepes,Narcos,Narcos Season 2 Los Pepes,2,03-oct.-16,TRUE
Who's Got Game?,Drake & Josh,Drake & Josh Season 4 Who's Got Game?,4,03-oct.-16,TRUE
The Enemies of My Enemy,Narcos,Narcos Season 2 The Enemies of My Enemy,2,03-oct.-16,TRUE
"The Good, The Bad, and The Dead",Narcos,"Narcos Season 2 The Good, The Bad, and The Dead",2,03-oct.-16,TRUE
Our Man in Madrid,Narcos,Narcos Season 2 Our Man in Madrid,2,02-oct.-16,TRUE
Cambalache,Narcos,Narcos Season 2 Cambalache,2,02-oct.-16,TRUE
Free at Last,Narcos,Narcos Season 2 Free at Last,2,02-oct.-16,TRUE
Despegue,Narcos,Narcos Season 1 Despegue,1,02-oct.-16,TRUE
La Catedral,Narcos,Narcos Season 1 La Catedral,1,02-oct.-16,TRUE
La Gran Mentira,Narcos,Narcos Season 1 La Gran Mentira,1,02-oct.-16,TRUE
You Will Cry Tears of Blood,Narcos,Narcos Season 1 You Will Cry Tears of Blood,1,02-oct.-16,TRUE
Explosivos,Narcos,Narcos Season 1 Explosivos,1,27-Sep-16,TRUE
There Will Be a Future,Narcos,Narcos Season 1 There Will Be a Future,1,27-Sep-16,TRUE
The Palace in Flames,Narcos,Narcos Season 1 The Palace in Flames,1,26-Sep-16,TRUE
The Men of Always,Narcos,Narcos Season 1 The Men of Always,1,26-Sep-16,TRUE
The Sword of Simón Bolívar,Narcos,Narcos Season 1 The Sword of Simón Bolívar,1,26-Sep-16,TRUE
Descenso,Narcos,Narcos Season 1 Descenso,1,26-Sep-16,TRUE
Mindy Loves Josh,Drake & Josh,Drake & Josh Season 4 Mindy Loves Josh,4,21-Sep-16,TRUE
,Mr Bean's Holiday,Mr Bean's Holiday,,18-Sep-16,FALSE
The General's Daughter,Transporter The Series,Transporter The Series Season 1 The General's Daughter,1,17-Sep-16,TRUE
Payback,Transporter The Series,Transporter The Series Season 1 Payback,1,17-Sep-16,TRUE
,Back to the Future,Back to the Future,,17-Sep-16,FALSE
Trojan Horsepower,Transporter The Series,Transporter The Series Season 1 Trojan Horsepower,1,16-Sep-16,TRUE
,Four Christmases,Four Christmases,,15-Sep-16,FALSE
,Saw III,Saw III,,14-Sep-16,FALSE
,El club de los incomprendidos,El club de los incomprendidos,,13-Sep-16,FALSE
,The Big Short,The Big Short,,13-Sep-16,FALSE
,Waffle Street,Waffle Street,,11-Sep-16,FALSE
,"Angus, Thongs and Perfect Snogging","Angus, Thongs and Perfect Snogging",,06-Sep-16,FALSE
,Redemption,Redemption,,06-Sep-16,FALSE
,The Words,The Words,,06-Sep-16,FALSE
,A Girl Like Her,A Girl Like Her,,05-Sep-16,FALSE
,A Little Chaos,A Little Chaos,,05-Sep-16,FALSE
The Breeding Center Secret,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Breeding Center Secret,1,04-Sep-16,TRUE
The Ultimate Test,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Ultimate Test,1,04-Sep-16,TRUE
Pokémon Paparazzi,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon Paparazzi,1,04-Sep-16,TRUE
The Case Of The K-9 Capers,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Case Of The K-9 Capers,1,02-Sep-16,TRUE
Bulbasaur's Mysterious Garden,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Bulbasaur's Mysterious Garden,1,01-Sep-16,TRUE
Who Gets To Keep Togepi?,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Who Gets To Keep Togepi?,1,01-Sep-16,TRUE
"So Near, Yet So Farfetch'd",Pokémon The Series Indigo League,"Pokémon The Series Indigo League Season 1 So Near, Yet So Farfetch'd",1,01-Sep-16,TRUE
Holy Matrimony!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Holy Matrimony!,1,01-Sep-16,TRUE
A Chansey Operation,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 A Chansey Operation,1,31-Aug-16,TRUE
Attack Of The Prehistoric Pokémon,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Attack Of The Prehistoric Pokémon,1,31-Aug-16,TRUE
The Song Of Jigglypuff,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Song Of Jigglypuff,1,29-Aug-16,TRUE
The Problem with Paras,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Problem with Paras,1,29-Aug-16,TRUE
The March of the Exeggutor Squad,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The March of the Exeggutor Squad,1,29-Aug-16,TRUE
Showdown at Dark City,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Showdown at Dark City,1,29-Aug-16,TRUE
Wake Up Snorlax!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Wake Up Snorlax!,1,29-Aug-16,TRUE
,XOXO,XOXO,,29-Aug-16,FALSE
,Mark & Russell’s Wild Ride,Mark & Russell’s Wild Ride,,28-Aug-16,FALSE
The Battling Eevee Brothers,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Battling Eevee Brothers,1,24-Aug-16,TRUE
Pikachu's Goodbye,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pikachu's Goodbye,1,24-Aug-16,TRUE
Ditto's Mysterious Mansion,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Ditto's Mysterious Mansion,1,24-Aug-16,TRUE
,One for the Money,One for the Money,,24-Aug-16,FALSE
,Odd Thomas,Odd Thomas,,23-Aug-16,FALSE
,Oldboy,Oldboy,,22-Aug-16,FALSE
,Laggies,Laggies,,22-Aug-16,FALSE
,Stuck in Love,Stuck in Love,,22-Aug-16,FALSE
,Fracture,Fracture,,22-Aug-16,FALSE
,Dinner for Schmucks,Dinner for Schmucks,,22-Aug-16,FALSE
,Free Samples,Free Samples,,22-Aug-16,FALSE
,Vanilla Sky,Vanilla Sky,,21-Aug-16,FALSE
,Hit and Run,Hit and Run,,21-Aug-16,FALSE
The Bridge Bike Gang,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Bridge Bike Gang,1,21-Aug-16,TRUE
,Triangle,Triangle,,21-Aug-16,FALSE
"First You Dream, Then You Die",Bates Motel,"Bates Motel Season 1 First You Dream, Then You Die",1,20-Aug-16,TRUE
Six Days Part 1,Grey's Anatomy,Grey's Anatomy Season 3 Six Days Part 1,3,20-Aug-16,TRUE
,Behaving Badly,Behaving Badly,,20-Aug-16,FALSE
The Kangaskhan Kid,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Kangaskhan Kid,1,20-Aug-16,TRUE
The Flame Pokémon-Athon!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Flame Pokémon-Athon!,1,20-Aug-16,TRUE
The Ninja Poké-Showdown,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Ninja Poké-Showdown,1,19-Aug-16,TRUE
Dig Those Diglett!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Dig Those Diglett!,1,19-Aug-16,TRUE
Sparks Fly for Magnemite,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Sparks Fly for Magnemite,1,18-Aug-16,TRUE
The Punchy Pokémon,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Punchy Pokémon,1,17-Aug-16,TRUE
Pokémon Fashion Flash,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon Fashion Flash,1,17-Aug-16,TRUE
Hypno's Naptime,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Hypno's Naptime,1,17-Aug-16,TRUE
,The Truth About Emanuel,The Truth About Emanuel,,16-Aug-16,FALSE
,Secret in Their Eyes,Secret in Their Eyes,,16-Aug-16,FALSE
Pokémon Scent-Sation!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon Scent-Sation!,1,16-Aug-16,TRUE
Primeape Goes Bananas,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Primeape Goes Bananas,1,16-Aug-16,TRUE
,Primal Fear,Primal Fear,,15-Aug-16,FALSE
,The Others,The Others,,15-Aug-16,FALSE
,Enemy,Enemy,,14-Aug-16,FALSE
Haunter Vs. Kadabra,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Haunter Vs. Kadabra,1,10-Aug-16,TRUE
The Tower of Terror,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Tower of Terror,1,10-Aug-16,TRUE
,Tallulah,Tallulah,,09-Aug-16,FALSE
,We Need to Talk About Kevin,We Need to Talk About Kevin,,08-Aug-16,FALSE
Abra and the Psychic Showdown,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Abra and the Psychic Showdown,1,06-Aug-16,TRUE
Bye Bye Butterfree,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Bye Bye Butterfree,1,06-Aug-16,TRUE
The Ghost of Maiden's Peak,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Ghost of Maiden's Peak,1,05-Aug-16,TRUE
Tentacool & Tentacruel,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Tentacool & Tentacruel,1,03-Aug-16,TRUE
Island of the Giant Pokémon,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Island of the Giant Pokémon,1,03-Aug-16,TRUE
Pokémon Shipwreck,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon Shipwreck,1,03-Aug-16,TRUE
Battle Aboard the St. Anne,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Battle Aboard the St. Anne,1,03-Aug-16,TRUE
Electric Shock Showdown,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Electric Shock Showdown,1,03-Aug-16,TRUE
Mystery at the Lighthouse,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Mystery at the Lighthouse,1,03-Aug-16,TRUE
,Pain & Gain,Pain & Gain,,02-Aug-16,FALSE
,Role Models,Role Models,,02-Aug-16,FALSE
,Assassination of a High School President,Assassination of a High School President,,02-Aug-16,FALSE
Here Comes the Squirtle Squad,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Here Comes the Squirtle Squad,1,02-Aug-16,TRUE
,High School,High School,,01-Aug-16,FALSE
,Drinking Buddies,Drinking Buddies,,01-Aug-16,FALSE
,Mancation,Mancation,,01-Aug-16,FALSE
Turban Cowboy,Family Guy,Family Guy Season 11 Turban Cowboy,11,29-jul.-16,TRUE
Tiegs for Two,Family Guy,Family Guy Season 9 Tiegs for Two,9,28-jul.-16,TRUE
Charmander - The Stray Pokémon,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Charmander - The Stray Pokémon,1,28-jul.-16,TRUE
Bulbasaur and the Hidden Village,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Bulbasaur and the Hidden Village,1,28-jul.-16,TRUE
The School of Hard Knocks,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The School of Hard Knocks,1,28-jul.-16,TRUE
The Path to the Pokémon League,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Path to the Pokémon League,1,28-jul.-16,TRUE
,El Chavo La Cuenta y el Tendedero,El Chavo La Cuenta y el Tendedero,,28-jul.-16,FALSE
The Water Flowers of Cerulean City,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 The Water Flowers of Cerulean City,1,28-jul.-16,TRUE
Clefairy and the Moon Stone,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Clefairy and the Moon Stone,1,28-jul.-16,TRUE
Showdown in Pewter City,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Showdown in Pewter City,1,28-jul.-16,TRUE
Challenge of the Samurai,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Challenge of the Samurai,1,27-jul.-16,TRUE
,The Babadook,The Babadook,,26-jul.-16,FALSE
Ash Catches a Pokémon,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Ash Catches a Pokémon,1,26-jul.-16,TRUE
Pokémon Emergency,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon Emergency,1,26-jul.-16,TRUE
Pokémon - I Choose You!,Pokémon The Series Indigo League,Pokémon The Series Indigo League Season 1 Pokémon - I Choose You!,1,26-jul.-16,TRUE
,Accepted,Accepted,,26-jul.-16,FALSE
,Ouija Experiment 2 The Ouija Resurrection,Ouija Experiment 2 The Ouija Resurrection,,25-jul.-16,FALSE
Chris Cross,Family Guy,Family Guy Season 11 Chris Cross,11,21-jul.-16,TRUE
Valentine's Day in Quahog,Family Guy,Family Guy Season 11 Valentine's Day in Quahog,11,21-jul.-16,TRUE
The Giggity Wife,Family Guy,Family Guy Season 11 The Giggity Wife,11,21-jul.-16,TRUE
,El Chavo El Quijote Torta de Jamon,El Chavo El Quijote Torta de Jamon,,20-jul.-16,FALSE
,El Chavo El Yoyo,El Chavo El Yoyo,,20-jul.-16,FALSE
,Along Came a Spider,Along Came a Spider,,17-jul.-16,FALSE
,Wish I Was Here,Wish I Was Here,,17-jul.-16,FALSE
,Broken City,Broken City,,11-jul.-16,FALSE
,I Don't Know How She Does It,I Don't Know How She Does It,,11-jul.-16,FALSE
,Friends with Kids,Friends with Kids,,10-jul.-16,FALSE
,The Boy,The Boy,,10-jul.-16,FALSE
,Couples Retreat,Couples Retreat,,09-jul.-16,FALSE
Space Cadet,Family Guy,Family Guy Season 11 Space Cadet,11,09-jul.-16,TRUE
"Jesus, Mary and Jospeh!",Family Guy,"Family Guy Season 11 Jesus, Mary and Jospeh!",11,09-jul.-16,TRUE
,Not Safe for Work,Not Safe for Work,,09-jul.-16,FALSE
Tea Peter,Family Guy,Family Guy Season 10 Tea Peter,10,08-jul.-16,TRUE
Leggo My Meg-O,Family Guy,Family Guy Season 10 Leggo My Meg-O,10,08-jul.-16,TRUE
,Sunlight Jr.,Sunlight Jr.,,08-jul.-16,FALSE
,Miss You Already,Miss You Already,,07-jul.-16,FALSE
,Labor Day,Labor Day,,07-jul.-16,FALSE
,Beasts of No Nation,Beasts of No Nation,,07-jul.-16,FALSE
Mr. and Mrs. Stewie,Family Guy,Family Guy Season 10 Mr. and Mrs. Stewie,10,06-jul.-16,TRUE
,Rage,Rage,,04-jul.-16,FALSE
,Case 39,Case 39,,01-jul.-16,FALSE
,Solo para dos,Solo para dos,,01-jul.-16,FALSE
,He's Just Not That Into You,He's Just Not That Into You,,01-jul.-16,FALSE
,The Twilight Saga Breaking Dawn,The Twilight Saga Breaking Dawn Part 2,,30-jun.-16,FALSE
,To Fool a Thief,To Fool a Thief,,28-jun.-16,FALSE
,The Aura,The Aura,,27-jun.-16,FALSE
,6 Bullets,6 Bullets,,27-jun.-16,FALSE
,Spy Time,Spy Time,,27-jun.-16,FALSE
,Killing Them Softly,Killing Them Softly,,27-jun.-16,FALSE
,The Entitled,The Entitled,,27-jun.-16,FALSE
Thanksgiving,Family Guy,Family Guy Season 10 Thanksgiving,10,26-jun.-16,TRUE
Back to the Pilot,Family Guy,Family Guy Season 10 Back to the Pilot,10,26-jun.-16,TRUE
Stewie Goes for a Drive,Family Guy,Family Guy Season 10 Stewie Goes for a Drive,10,26-jun.-16,TRUE
,The Final,The Final,,26-jun.-16,FALSE
,The Fundamentals of Caring,The Fundamentals of Caring,,24-jun.-16,FALSE
Roads to Vegas,Family Guy,Family Guy Season 11 Roads to Vegas,11,24-jun.-16,TRUE
Total Recall,Family Guy,Family Guy Season 11 Total Recall,11,22-jun.-16,TRUE
Bigfat,Family Guy,Family Guy Season 11 Bigfat,11,22-jun.-16,TRUE
,Love & Other Drugs,Love & Other Drugs,,22-jun.-16,FALSE
Friends Without Benefits,Family Guy,Family Guy Season 11 Friends Without Benefits,11,22-jun.-16,TRUE
,Band of Robbers,Band of Robbers,,22-jun.-16,FALSE
,Big Nothing,Big Nothing,,20-jun.-16,FALSE
,Men of Honor,Men of Honor,,20-jun.-16,FALSE
,Bad Words,Bad Words,,19-jun.-16,FALSE
,Serious Moonlight,Serious Moonlight,,19-jun.-16,FALSE
,Lay the Favorite,Lay the Favorite,,18-jun.-16,FALSE
,She's Funny That Way,She's Funny That Way,,18-jun.-16,FALSE
,Seeking Justice,Seeking Justice,,17-jun.-16,FALSE
,Playing It Cool,Playing It Cool,,13-jun.-16,FALSE
Lois Comes Out of Her Shell,Family Guy,Family Guy Season 11 Lois Comes Out of Her Shell,11,13-jun.-16,TRUE
Joe's Revenge,Family Guy,Family Guy Season 11 Joe's Revenge,11,13-jun.-16,TRUE
Yug Yilmaf,Family Guy,Family Guy Season 11 Yug Yilmaf,11,12-jun.-16,TRUE
The Old Man and the Big C,Family Guy,Family Guy Season 11 The Old Man and the Big C,11,12-jun.-16,TRUE
He's Bla-Ack!,Family Guy,Family Guy Season 12 He's Bla-Ack!,12,12-jun.-16,TRUE
Meg Stinks!,Family Guy,Family Guy Season 12 Meg Stinks!,12,11-jun.-16,TRUE
,Palm Trees in the Snow,Palm Trees in the Snow,,11-jun.-16,FALSE
,The Do-Over,The Do-Over,,11-jun.-16,FALSE
,Date Night,Date Night,,25-may.-16,FALSE
,Powder Blue,Powder Blue,,23-may.-16,FALSE
,Bag Man,Bag Man,,23-may.-16,FALSE
,Bachelorette,Bachelorette,,23-may.-16,FALSE
,Dear John,Dear John,,22-may.-16,FALSE
Into the Ring,Marvel's Daredevil,Marvel's Daredevil Season 1 Into the Ring,1,21-may.-16,TRUE
Fifty-One,Breaking Bad,Breaking Bad Season 5 Fifty-One,5,21-may.-16,TRUE
,8MM,8MM,,21-may.-16,FALSE
,Venus and Vegas,Venus and Vegas,,21-may.-16,FALSE
,Youth in Revolt,Youth in Revolt,,16-may.-16,FALSE
,The Necessary Death of Charlie Countryman,The Necessary Death of Charlie Countryman,,16-may.-16,FALSE
,"I Love You, Man","I Love You, Man",,14-may.-16,FALSE
,Target of Opportunity,Target of Opportunity,,10-may.-16,FALSE
,It's Kind of a Funny Story,It's Kind of a Funny Story,,07-may.-16,FALSE
,The Double,The Double,,07-may.-16,FALSE
,Insidious,Insidious,,01-may.-16,FALSE
,Bro',Bro',,30-Apr-16,FALSE
,Trust,Trust,,29-Apr-16,FALSE
,Stark Raving Mad,Stark Raving Mad,,27-Apr-16,FALSE
,Hit & Run,Hit & Run,,27-Apr-16,FALSE
,La leyenda,La leyenda,,24-Apr-16,FALSE
,Edge of Darkness,Edge of Darkness,,24-Apr-16,FALSE
,Born to Race Fast Track,Born to Race Fast Track,,20-Apr-16,FALSE
,Drive Hard,Drive Hard,,20-Apr-16,FALSE
,Kidnapping Mr. Heineken,Kidnapping Mr. Heineken,,18-Apr-16,FALSE
iNevel,iCarly,iCarly Season 1 iNevel,1,18-Apr-16,TRUE
iWant More Viewers,iCarly,iCarly Season 1 iWant More Viewers,1,18-Apr-16,TRUE
,The Spectacular Now,The Spectacular Now,,16-Apr-16,FALSE
,The Last Stand,The Last Stand,,14-Apr-16,FALSE
,All Things to All Men,All Things to All Men,,13-Apr-16,FALSE
,Hush,Hush,,13-Apr-16,FALSE
,Entrapment,Entrapment,,09-Apr-16,FALSE
,Killer Klowns from Outer Space,Killer Klowns from Outer Space,,09-Apr-16,FALSE
,Red Lights,Red Lights,,08-Apr-16,FALSE
Postcards from the Edge,Scorpion,Scorpion Season 1 Postcards from the Edge,1,06-Apr-16,TRUE
Cliffhanger,Scorpion,Scorpion Season 1 Cliffhanger,1,05-Apr-16,TRUE
Crossroads,Scorpion,Scorpion Season 1 Crossroads,1,05-Apr-16,TRUE
Young Hearts Spark Fire,Scorpion,Scorpion Season 1 Young Hearts Spark Fire,1,04-Apr-16,TRUE
"Once Bitten, Twice Die",Scorpion,"Scorpion Season 1 Once Bitten, Twice Die",1,04-Apr-16,TRUE
Going South,Scorpion,Scorpion Season 1 Going South,1,04-Apr-16,TRUE
Love Boat,Scorpion,Scorpion Season 1 Love Boat,1,04-Apr-16,TRUE
Forget Me Nots,Scorpion,Scorpion Season 1 Forget Me Nots,1,04-Apr-16,TRUE
Charades,Scorpion,Scorpion Season 1 Charades,1,04-Apr-16,TRUE
Kill Screen,Scorpion,Scorpion Season 1 Kill Screen,1,04-Apr-16,TRUE
Dominoes,Scorpion,Scorpion Season 1 Dominoes,1,04-Apr-16,TRUE
Revenge,Scorpion,Scorpion Season 1 Revenge,1,03-Apr-16,TRUE
Talismans,Scorpion,Scorpion Season 1 Talismans,1,03-Apr-16,TRUE
Rogue Element,Scorpion,Scorpion Season 1 Rogue Element,1,03-Apr-16,TRUE
Risky Business,Scorpion,Scorpion Season 1 Risky Business,1,03-Apr-16,TRUE
,Gone,Gone,,01-Apr-16,FALSE
Father's Day,Scorpion,Scorpion Season 1 Father's Day,1,01-Apr-16,TRUE
True Colors,Scorpion,Scorpion Season 1 True Colors,1,01-Apr-16,TRUE
Plutonium Is Forever,Scorpion,Scorpion Season 1 Plutonium Is Forever,1,01-Apr-16,TRUE
Shorthanded,Scorpion,Scorpion Season 1 Shorthanded,1,01-Apr-16,TRUE
A Cyclone,Scorpion,Scorpion Season 1 A Cyclone,1,01-Apr-16,TRUE
Single Point of Failure,Scorpion,Scorpion Season 1 Single Point of Failure,1,01-Apr-16,TRUE
,Clown,Clown,,28-mar.-16,FALSE
,The Uninvited,The Uninvited,,27-mar.-16,FALSE
,Picture This,Picture This,,25-mar.-16,FALSE
,I Am You,I Am You,,25-mar.-16,FALSE
,Are You Here,Are You Here,,24-mar.-16,FALSE
,The Dukes of Hazzard,The Dukes of Hazzard,,24-mar.-16,FALSE
,The Joneses,The Joneses,,24-mar.-16,FALSE
,Black or White,Black or White,,23-mar.-16,FALSE
iGo to Japan Part 1,iCarly,iCarly Season 2 iGo to Japan Part 1,2,23-mar.-16,TRUE
iHave a Love Sick Teacher,iCarly,iCarly Season 1 iHave a Love Sick Teacher,1,23-mar.-16,TRUE
iWin a Date,iCarly,iCarly Season 1 iWin a Date,1,23-mar.-16,TRUE
,Left Behind,Left Behind,,19-mar.-16,FALSE
,3rd World Cops 2,3rd World Cops 2,,19-mar.-16,FALSE
Pilot,Scorpion,Scorpion Season 1 Pilot,1,18-mar.-16,TRUE
,Why Stop Now,Why Stop Now,,18-mar.-16,FALSE
Baby Got Black,Family Guy,Family Guy Season 12 Baby Got Black,12,16-mar.-16,TRUE
Mom's the Word,Family Guy,Family Guy Season 12 Mom's the Word,12,15-mar.-16,TRUE
The Most Interesting Man in the World,Family Guy,Family Guy Season 12 The Most Interesting Man in the World,12,15-mar.-16,TRUE
Vestigial Peter,Family Guy,Family Guy Season 12 Vestigial Peter,12,14-mar.-16,TRUE
Finders Keepers,Family Guy,Family Guy Season 12 Finders Keepers,12,14-mar.-16,TRUE
Vicious Tiberius,Drake & Josh,Drake & Josh Season 4 Vicious Tiberius,4,06-mar.-16,TRUE
,Ladrón Que Roba a Ladrón,Ladrón Que Roba a Ladrón,,06-mar.-16,FALSE
,Small Soldiers,Small Soldiers,,06-mar.-16,FALSE
,A Nightmare on Elm Street,A Nightmare on Elm Street,,06-mar.-16,FALSE
,Revolutionary Road,Revolutionary Road,,06-mar.-16,FALSE
,Curse of Chucky,Curse of Chucky,,06-mar.-16,FALSE
,The Other Guys,The Other Guys,,06-mar.-16,FALSE
,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,,05-mar.-16,FALSE
,The Next Three Days,The Next Three Days,,04-mar.-16,FALSE
,Freelancers,Freelancers,,04-mar.-16,FALSE
Chapter 1,House of Cards,House of Cards Season 1 Chapter 1,1,04-mar.-16,TRUE
,2 Guns,2 Guns,,04-mar.-16,FALSE
,Something Borrowed,Something Borrowed,,04-mar.-16,FALSE
,Loosies,Loosies,,04-mar.-16,FALSE
